516, 22.854137, 75.788223, 738, 23.743134, 75.184044
520, 21.013346, 65.146271, 619, 26.951244, 62.738316
521, 60.230083, 34.262718, 668, 64.925308, 33.562950
524, 50.532963, 42.501984, 119, 52.699757, 40.105293
537, 31.524700, 53.526405, 9, 37.479469, 51.897118
538, 67.844383, 34.958748, 38, 70.323280, 34.357376
540, 34.183434, 60.925648, 604, 34.073566, 57.237209
545, 63.736126, 41.411606, 969, 67.802612, 39.419167
548, 63.165543, 50.209167, 706, 62.332512, 47.816818
553, 22.270327, 81.939026, 405, 24.595013, 79.597244
560, 11.132227, 93.127785, 473, 11.993162, 87.109726
561, 27.602461, 63.673538, 161, 31.098103, 60.862232
565, 32.931011, 49.371101, 159, 39.168510, 50.650459
575, 12.816284, 79.332481, 501, 17.727139, 75.452126
579, 2.381593, 88.485970, 502, 7.037537, 88.465881
582, 65.210770, 35.794003, 538, 67.844383, 34.958748
592, 73.973923, 32.310875, 38, 70.323280, 34.357376
598, 31.211386, 47.737099, 9, 37.479469, 51.897118
602, 11.582366, 84.735809, 791, 13.824399, 85.904907
604, 34.073566, 57.237209, 9, 37.479469, 51.897118
613, 17.909969, 83.209114, 85, 21.020287, 78.969345
618, 47.525505, 38.139832, 119, 52.699757, 40.105293
619, 26.951244, 62.738316, 161, 31.098103, 60.862232
626, 5.883777, 90.399216, 473, 11.993162, 87.109726
627, 1.179370, 85.621262, 502, 7.037537, 88.465881
644, 13.852555, 91.071381, 791, 13.824399, 85.904907
649, 57.194092, 69.132118, 978, 54.420883, 63.042046
661, 1.947201, 87.180550, 502, 7.037537, 88.465881
665, 19.207008, 68.609764, 886, 24.810997, 65.980011
668, 64.925308, 33.562950, 958, 68.068703, 33.665462
676, 49.432991, 51.377991, 790, 51.714504, 47.394051
681, 48.415173, 65.221054, 176, 52.140232, 63.959381
685, 43.873112, 63.885727, 176, 52.140232, 63.959381
690, 42.982067, 68.014366, 681, 48.415173, 65.221054
692, 59.888813, 38.465176, 907, 63.617970, 35.868626
706, 62.332512, 47.816818, 545, 63.736126, 41.411606
708, 23.454433, 79.082893, 30, 26.684525, 77.712845
709, 55.087784, 37.964523, 692, 59.888813, 38.465176
710, 49.495087, 35.023964, 21, 55.211716, 35.795040
720, 29.845854, 78.661148, 794, 30.769947, 73.933441
731, 28.079283, 78.440735, 794, 30.769947, 73.933441
732, 73.061676, 38.889774, 38, 70.323280, 34.357376
734, 40.637432, 73.126648, 891, 35.737511, 70.158058
737, 48.694035, 37.100574, 119, 52.699757, 40.105293
738, 23.743134, 75.184044, 911, 25.844337, 68.883392
743, 22.326311, 59.307781, 195, 28.001629, 59.214218
750, 67.749535, 50.372482, 706, 62.332512, 47.816818
751, 32.492321, 69.855377, 25, 37.537350, 66.709030
755, 59.302700, 51.518364, 706, 62.332512, 47.816818
762, 51.656956, 46.745052, 142, 54.084072, 43.309135
